D_number,date_UTC,Latitude,Longitude,U_speed_mps,U_Dir_deg,batteryState
298,2023-04-24 15:23:34,54.50094,10.2561,0.17835017909782,103.4309114958,GOOD
298,2023-04-24 15:28:28,54.50081,10.25687,0.176616309244567,105.153546569169,GOOD
298,2023-04-24 15:33:31,54.50061,10.25769,0.190041806536503,111.713329303578,GOOD
298,2023-04-24 15:38:26,54.5004,10.2585,0.19467752190639,112.986323045309,GOOD
298,2023-04-24 15:48:24,54.50006,10.26003,0.193285574211925,108.148124584668,GOOD
298,2023-04-24 15:58:26,54.49959,10.26159,0.177794223153148,109.746316055833,GOOD
298,2023-04-24 16:08:28,54.49913,10.26316,0.189806621854391,110.922061393357,GOOD
298,2023-04-24 16:13:29,54.499,10.26402,0.191191545452815,103.530101581756,GOOD
298,2023-04-24 16:28:25,54.49844,10.26653,0.194312767725384,109.942673387137,GOOD
298,2023-04-24 16:38:20,54.49802,10.26818,0.20135130768386,111.727283230002,GOOD
298,2023-04-24 16:43:20,54.49776,10.26913,0.22664813814743,114.150285085534,GOOD
298,2023-04-24 17:03:15,54.49679,10.27308,0.23237173036143,111.839848188958,GOOD
298,2023-04-24 17:13:20,54.49623,10.27509,0.238575099402626,114.540674254083,GOOD
298,2023-04-24 17:28:18,54.49535,10.27825,0.25267654778375,114.528096213329,GOOD
298,2023-04-24 17:33:21,54.49503,10.27932,0.25716608705745,116.151996094642,GOOD
298,2023-04-24 17:38:28,54.49475,10.28056,0.280628057747403,110.160244599939,GOOD
298,2023-04-24 17:48:23,54.49425,10.28288,0.269325971605386,109.2731144524,GOOD
298,2023-04-24 17:53:22,54.49393,10.28404,0.27809783746836,114.311522220392,GOOD
298,2023-04-24 17:58:21,54.49385,10.28516,0.244461674869413,95.9497892319501,GOOD
298,2023-04-24 18:03:19,54.49364,10.28642,0.284894058713371,104.930380753008,GOOD
298,2023-04-24 18:18:24,54.49279,10.29009,0.2827184611413,110.647334993527,GOOD
298,2023-04-24 18:28:16,54.49218,10.29262,0.339235941795329,129.607578228892,GOOD
298,2023-04-24 18:33:16,54.49199,10.29387,0.278964416782647,103.580824326601,GOOD
298,2023-04-24 18:38:18,54.49167,10.29505,0.279230913587675,113.924398874511,GOOD
298,2023-04-24 18:43:15,54.49137,10.29618,0.270892314495306,113.460623469965,GOOD
